date,o,h,l,c,change
2022-10-03 15:26:00,1.13045,1.13103,1.1303,1.1306,
2022-10-03 15:25:00,1.13181,1.13203,1.1303,1.1305,-8.844861135681725e-05
2022-10-03 15:24:00,1.13191,1.13198,1.1311,1.13177,0.001123396727111814
2022-10-03 15:23:00,1.13135,1.13201,1.1312,1.13189,0.00010602861005337694
2022-10-03 15:22:00,1.13045,1.13151,1.1304,1.13135,-0.0004770781613053776
2022-10-03 15:21:00,1.1307,1.13106,1.1304,1.13053,-0.0007247978079286677
2022-10-03 15:20:00,1.13088,1.13117,1.1305,1.1306,6.191786153397771e-05
2022-10-03 15:19:00,1.13178,1.13189,1.1308,1.13098,0.00033610472315581674
2022-10-03 15:18:00,1.13246,1.1325,1.1315,1.13178,0.0007073511467929894
2022-10-03 15:17:00,1.13262,1.1333,1.1323,1.13245,0.0005919878421600799
2022-10-03 15:16:00,1.13299,1.13301,1.1324,1.13257,0.000105964943264647
2022-10-03 15:15:00,1.13259,1.13334,1.1321,1.13297,0.00035317905295029206
2022-10-03 15:14:00,1.13233,1.13274,1.13199,1.13265,-0.0002824434892363392
2022-10-03 15:13:00,1.13195,1.13239,1.1314,1.13233,-0.0002825232860989013
2022-10-03 15:12:00,1.13274,1.1328,1.13179,1.13179,-0.0004768927786069632
2022-10-03 15:11:00,1.1331,1.13345,1.1326,1.13274,0.0008393783299021074
2022-10-03 15:10:00,1.13184,1.13337,1.1315,1.13314,0.00035312604834292216
2022-10-03 15:09:00,1.13097,1.13189,1.1307,1.13181,-0.0011737296362320793
2022-10-03 15:08:00,1.13135,1.13169,1.1307,1.13091,-0.0007951864712274492
2022-10-03 15:07:00,1.12982,1.13254,1.1296,1.13123,0.00028295797189858973
2022-10-03 15:06:00,1.12959,1.12995,1.1293,1.12982,-0.0012464308761258591
2022-10-03 15:05:00,1.1291,1.12965,1.1286,1.12952,-0.0002655290223221307
2022-10-03 15:04:00,1.12907,1.12937,1.1285,1.12901,-0.0004515192294072268
2022-10-03 15:03:00,1.12884,1.12918,1.1284,1.12918,0.000150574397038028
2022-10-03 15:02:00,1.12839,1.12894,1.1282,1.12884,-0.00030110345560496743
2022-10-03 15:01:00,1.12786,1.12864,1.1276,1.1284,-0.0003897806597923381
2022-10-03 15:00:00,1.12792,1.12808,1.1273,1.12789,-0.0004519673874512353
2022-10-03 14:59:00,1.12808,1.12816,1.1275,1.12791,1.773222566026078e-05
2022-10-03 14:58:00,1.12863,1.12864,1.12789,1.12801,8.865955617021193e-05
2022-10-03 14:57:00,1.12804,1.12874,1.1276,1.12863,0.0005496405173712748
2022-10-03 14:56:00,1.12843,1.12927,1.12799,1.12813,-0.0004430149827666652
2022-10-03 14:55:00,1.12877,1.12915,1.12799,1.12843,0.0002659267992164427
2022-10-03 14:54:00,1.1285,1.12877,1.1281,1.12862,0.00016837553060433663
2022-10-03 14:53:00,1.12794,1.12855,1.12769,1.12849,-0.0001151849160921925
2022-10-03 14:52:00,1.12707,1.12809,1.1267,1.12794,-0.0004873769373233694
2022-10-03 14:51:00,1.12767,1.12779,1.1267,1.12708,-0.0007624519034699073
2022-10-03 14:50:00,1.12774,1.12796,1.1269,1.1276,0.00046136920183115215
2022-10-03 14:49:00,1.12757,1.12796,1.1273,1.12772,0.00010642071656619123
2022-10-03 14:48:00,1.1271,1.12794,1.1271,1.12759,-0.00011527684176915187
2022-10-03 14:47:00,1.1269,1.12774,1.1266,1.12717,-0.00037247581124355555
2022-10-03 14:46:00,1.12673,1.12707,1.12589,1.127,-0.00015082019571133198
2022-10-03 14:45:00,1.12674,1.12722,1.1264,1.12667,-0.00029281277728476773
2022-10-03 14:44:00,1.12722,1.12754,1.1263,1.12674,6.212999369825667e-05
2022-10-03 14:43:00,1.12628,1.12724,1.1262,1.12722,0.0004260077746418567
2022-10-03 14:42:00,1.12642,1.12665,1.1261,1.12628,-0.0008339099732085353
2022-10-03 14:41:00,1.12701,1.12704,1.1262,1.12642,0.00012430301523602694
2022-10-03 14:40:00,1.1272,1.1273,1.1266,1.12705,0.0005592940466256913
2022-10-03 14:39:00,1.12667,1.12735,1.1265,1.12715,8.872720819841362e-05
2022-10-03 14:38:00,1.12728,1.12735,1.1264,1.12672,-0.00038149314643143306
2022-10-03 14:37:00,1.12733,1.12802,1.1272,1.12728,0.0004970178926442248
2022-10-03 14:36:00,1.12787,1.1281,1.1272,1.12734,5.3225463061412626e-05
2022-10-03 14:35:00,1.12783,1.12833,1.12769,1.12785,0.00045239235723038007
2022-10-03 14:34:00,1.12785,1.12844,1.1276,1.12789,3.546570909263025e-05
2022-10-03 14:33:00,1.1286,1.12863,1.1276,1.12785,-3.5464451320632584e-05
2022-10-03 14:32:00,1.1289,1.12907,1.1282,1.12857,0.0006383827636653461
2022-10-03 14:31:00,1.12822,1.12921,1.12789,1.1289,0.0002924054334245696
2022-10-03 14:30:00,1.12787,1.12839,1.1273,1.12822,-0.0006023562760208989
2022-10-03 14:29:00,1.12793,1.12866,1.12769,1.12789,-0.0002924961443689922
2022-10-03 14:28:00,1.12877,1.12893,1.1276,1.12793,3.5464451320743606e-05
2022-10-03 14:27:00,1.1284,1.12884,1.1282,1.12877,0.0007447270663958339
2022-10-03 14:26:00,1.12866,1.12911,1.1282,1.12844,-0.00029235362385604535
2022-10-03 14:25:00,1.12856,1.12899,1.12769,1.1287,0.0002304065789939802
2022-10-03 14:24:00,1.12766,1.1286,1.1275,1.1285,-0.00017719500310087177
2022-10-03 14:23:00,1.12698,1.12769,1.1268,1.12768,-0.0007266282676119395
2022-10-03 14:22:00,1.12636,1.12786,1.1262,1.12694,-0.0006562145289443766
2022-10-03 14:21:00,1.12571,1.12677,1.1255,1.12632,-0.000550162386639963
2022-10-03 14:20:00,1.12518,1.12584,1.1249,1.12568,-0.000568222174870403
2022-10-03 14:19:00,1.1251,1.12535,1.1248,1.1252,-0.0004264089261601933
2022-10-03 14:18:00,1.12484,1.12562,1.1246,1.12522,1.7774617845800478e-05
2022-10-03 14:17:00,1.12538,1.12565,1.1247,1.12484,-0.00033771173637164864
2022-10-03 14:16:00,1.12557,1.1256,1.1248,1.12535,0.0004533978165783825
2022-10-03 14:15:00,1.1255,1.12582,1.1252,1.12561,0.00023103923223888323
2022-10-03 14:14:00,1.12592,1.12613,1.1253,1.1255,-9.772478922542849e-05
2022-10-03 14:13:00,1.12625,1.12659,1.12579,1.12586,0.00031985784095978076
2022-10-03 14:12:00,1.1265,1.1266,1.12599,1.12618,0.0002842271685643549
2022-10-03 14:11:00,1.12691,1.12694,1.1263,1.1265,0.0002841464064360366
2022-10-03 14:10:00,1.1271,1.12734,1.1265,1.1268,0.0002663115845538133
2022-10-03 14:09:00,1.12758,1.12806,1.12716,1.12722,0.00037273695420658726
2022-10-03 14:08:00,1.12653,1.12779,1.1264,1.1275,0.00024839871542359226
2022-10-03 14:07:00,1.12589,1.12694,1.12569,1.12653,-0.0008603104212859813
2022-10-03 14:06:00,1.12533,1.12616,1.1251,1.12601,-0.0004615944537651462
2022-10-03 14:05:00,1.124,1.12549,1.12379,1.12535,-0.0005861404428023631
2022-10-03 14:04:00,1.12473,1.12501,1.12393,1.12401,-0.0011907406584619196
2022-10-03 14:03:00,1.12588,1.12613,1.1247,1.12494,0.0008273947740680132
2022-10-03 14:02:00,1.12477,1.12603,1.1245,1.12592,0.0008711575728483911
2022-10-03 14:01:00,1.12396,1.12487,1.12379,1.12477,-0.0010213869546681353
2022-10-03 14:00:00,1.12216,1.12452,1.12216,1.12396,-0.0007201472301003875
2022-10-03 13:59:00,1.12155,1.12233,1.1213,1.12216,-0.001601480479732409
2022-10-03 13:58:00,1.12175,1.12196,1.1214,1.12159,-0.0005079489555855909
2022-10-03 13:57:00,1.12145,1.12189,1.1212,1.12176,0.00015157053825376465
