Undergrad,Marital.Status,Taxable.Income,City.Population,Work.Experience,Urban,
NO,Single,68833,50047,10,YES,Risky
YES,Divorced,33700,134075,18,YES,Risky
NO,Married,36925,160205,30,YES,Risky
YES,Single,50190,193264,15,YES,Risky
NO,Married,81002,27533,28,NO,Risky
NO,Divorced,33329,116382,0,NO,Risky
NO,Divorced,83357,80890,8,YES,Risky
YES,Single,62774,131253,3,YES,Risky
NO,Single,83519,102481,12,YES,Risky
YES,Divorced,98152,155482,4,YES,Risky
NO,Single,29732,102602,19,YES,Not Risky
NO,Single,61063,94875,6,YES,Risky
NO,Divorced,11794,148033,14,YES,Not Risky
NO,Married,61830,86649,16,YES,Risky
NO,Married,64070,57529,13,YES,Risky
NO,Divorced,69869,107764,29,NO,Risky
YES,Divorced,24987,34551,29,NO,Not Risky
YES,Married,39476,57194,25,NO,Risky
YES,Divorced,97957,59269,6,NO,Risky
NO,Single,10987,126953,30,YES,Not Risky
YES,Single,88636,147222,26,NO,Risky
YES,Divorced,14310,29106,7,YES,Not Risky
YES,Divorced,78969,155342,14,NO,Risky
NO,Single,92040,50495,12,YES,Risky
NO,Divorced,38239,28495,30,NO,Risky
NO,Divorced,31417,124606,27,YES,Risky
YES,Divorced,55299,169128,15,NO,Risky
YES,Single,87778,28542,12,YES,Risky
YES,Single,10379,128766,5,YES,Not Risky
YES,Divorced,94033,41863,30,YES,Risky
YES,Divorced,73854,117788,0,YES,Risky
NO,Divorced,64007,147414,21,NO,Risky
YES,Married,97200,51911,23,NO,Risky
YES,Single,82071,157251,21,NO,Risky
YES,Divorced,12514,183767,1,YES,Not Risky
YES,Married,31336,41117,30,YES,Risky
YES,Married,10163,193995,5,YES,Not Risky
NO,Married,68513,66912,5,YES,Risky
NO,Single,14912,177575,3,NO,Not Risky
NO,Married,74010,54981,16,YES,Risky
NO,Single,50777,199697,26,YES,Risky
YES,Married,49436,91524,1,NO,Risky
NO,Single,96485,51666,12,NO,Risky
YES,Divorced,70339,50020,10,NO,Risky
YES,Divorced,33614,98880,22,NO,Risky
YES,Married,81079,183095,14,YES,Risky
YES,Married,31532,137346,27,YES,Risky
YES,Single,44034,34964,2,NO,Risky
NO,Married,16264,35480,12,NO,Not Risky
NO,Divorced,45706,160195,15,YES,Risky
YES,Single,79616,145804,3,YES,Risky
YES,Single,40137,174042,30,NO,Risky
NO,Single,97703,91828,23,NO,Risky
YES,Single,21917,139143,7,YES,Not Risky
NO,Divorced,81939,98207,23,NO,Risky
YES,Single,19925,89965,16,YES,Not Risky
NO,Married,34703,69832,25,YES,Risky
NO,Single,78573,70744,13,NO,Risky
YES,Single,10870,158047,15,NO,Not Risky
NO,Single,65065,102228,11,NO,Risky
YES,Married,94418,91138,23,NO,Risky
YES,Married,26972,86169,8,NO,Not Risky
NO,Divorced,91684,147684,13,YES,Risky
YES,Divorced,51685,95831,9,NO,Risky
YES,Single,62158,118261,15,NO,Risky
NO,Divorced,58312,194738,29,NO,Risky
YES,Married,42507,66985,12,YES,Risky
YES,Married,61486,173986,24,NO,Risky
NO,Single,10150,139642,5,NO,Not Risky
YES,Single,99619,86896,29,NO,Risky
YES,Divorced,89302,80904,3,YES,Risky
NO,Single,94287,105680,22,NO,Risky
YES,Divorced,41344,108300,27,YES,Risky
YES,Single,41382,174789,2,YES,Risky
NO,Divorced,32434,182319,17,NO,Risky
NO,Married,61105,50404,19,YES,Risky
YES,Married,67628,129164,11,NO,Risky
YES,Married,31458,118344,26,NO,Risky
YES,Divorced,73411,143153,0,NO,Risky
NO,Divorced,10329,140885,7,YES,Not Risky
NO,Married,44947,28184,26,NO,Risky
YES,Divorced,35610,121608,24,NO,Risky
NO,Divorced,66564,111068,26,YES,Risky
NO,Divorced,87348,73963,18,YES,Risky
NO,Married,69098,178083,4,YES,Risky
YES,Divorced,28449,125155,12,YES,Not Risky
YES,Divorced,39277,97520,29,YES,Risky
YES,Single,13747,64075,23,NO,Not Risky
NO,Married,86652,63896,24,YES,Risky
YES,Married,26741,176050,20,NO,Not Risky
NO,Divorced,77634,101232,29,NO,Risky
YES,Married,99325,73733,10,YES,Risky
NO,Divorced,85651,114621,13,NO,Risky
YES,Married,15296,137676,3,YES,Not Risky
NO,Single,10348,122705,6,YES,Not Risky
YES,Single,41395,121498,28,YES,Risky
NO,Single,22258,63622,17,NO,Not Risky
YES,Divorced,79583,37849,19,YES,Risky
YES,Married,22187,77053,18,YES,Not Risky
NO,Married,52495,114350,12,NO,Risky
YES,Single,93078,46444,25,NO,Risky
YES,Married,35072,50490,20,YES,Risky
YES,Divorced,32662,91488,23,NO,Risky
NO,Divorced,89250,76318,5,YES,Risky
NO,Single,41641,174423,14,NO,Risky
NO,Single,55873,46893,15,NO,Risky
YES,Single,19169,58535,20,YES,Not Risky
NO,Married,46629,52424,6,YES,Risky
YES,Married,51927,120894,10,YES,Risky
YES,Married,69224,178585,8,YES,Risky
NO,Single,24557,32450,19,YES,Not Risky
NO,Single,77762,164526,11,YES,Risky
YES,Single,96355,193038,26,YES,Risky
YES,Married,90910,100347,7,YES,Risky
NO,Single,21945,197934,7,NO,Not Risky
YES,Divorced,79357,78251,21,YES,Risky
NO,Married,42784,132570,12,NO,Risky
NO,Single,54638,96370,29,YES,Risky
NO,Divorced,29944,199174,10,NO,Not Risky
NO,Divorced,97318,47202,30,YES,Risky
YES,Single,52022,135886,11,YES,Risky
YES,Married,20391,86648,16,YES,Not Risky
YES,Married,21016,140762,26,NO,Not Risky
YES,Married,26679,79683,26,NO,Not Risky
YES,Divorced,70682,139324,13,NO,Risky
YES,Divorced,87326,155669,11,NO,Risky
YES,Divorced,15853,195022,3,YES,Not Risky
NO,Single,75501,93035,28,YES,Risky
NO,Married,97984,100897,27,YES,Risky
YES,Single,53378,65469,26,NO,Risky
YES,Single,93458,87730,7,YES,Risky
YES,Single,56501,174321,16,YES,Risky
NO,Divorced,46955,67820,12,NO,Risky
NO,Single,33492,86646,14,YES,Risky
YES,Married,35832,190365,28,NO,Risky
YES,Divorced,12470,75323,19,YES,Not Risky
NO,Divorced,53981,53513,9,NO,Risky
YES,Single,22773,115884,6,NO,Not Risky
NO,Single,84691,155335,25,NO,Risky
YES,Divorced,50087,86904,20,NO,Risky
YES,Married,27877,93390,4,YES,Not Risky
YES,Married,56647,194364,23,YES,Risky
NO,Single,59419,122654,26,YES,Risky
YES,Single,26783,154013,11,NO,Not Risky
YES,Single,79453,156503,29,YES,Risky
NO,Divorced,33962,197422,2,YES,Risky
NO,Divorced,84429,57931,28,YES,Risky
YES,Divorced,63057,163252,28,NO,Risky
NO,Married,43128,197038,21,NO,Risky
NO,Single,40220,49505,25,NO,Risky
NO,Married,79700,161759,28,NO,Risky
NO,Single,67083,109110,10,NO,Risky
NO,Single,22054,91889,16,NO,Not Risky
YES,Divorced,18192,114841,28,NO,Not Risky
NO,Single,25222,82520,29,YES,Not Risky
YES,Single,58635,139624,7,NO,Risky
YES,Married,39114,125987,3,YES,Risky
YES,Married,48738,115631,5,NO,Risky
NO,Divorced,28496,163347,11,NO,Not Risky
YES,Single,62209,28504,1,NO,Risky
YES,Divorced,87677,79972,0,YES,Risky
YES,Married,93659,185596,30,YES,Risky
YES,Married,56503,177468,21,YES,Risky
YES,Divorced,27081,91851,15,YES,Not Risky
YES,Single,48779,153192,28,NO,Risky
YES,Married,91304,38463,23,YES,Risky
NO,Married,49520,73466,22,YES,Risky
NO,Married,41117,194381,25,NO,Risky
NO,Divorced,18199,167629,30,NO,Not Risky
YES,Single,76992,76933,6,YES,Risky
NO,Divorced,98588,143402,10,NO,Risky
YES,Married,20719,103614,24,NO,Not Risky
NO,Married,13068,52819,23,YES,Not Risky
YES,Single,84835,105110,16,YES,Risky
YES,Single,44795,149857,8,NO,Risky
YES,Single,39052,57055,13,NO,Risky
NO,Married,38704,75169,28,NO,Risky
NO,Married,98416,31156,13,YES,Risky
NO,Single,86958,85832,15,YES,Risky
YES,Married,29222,192451,22,YES,Not Risky
YES,Single,71357,149101,19,NO,Risky
NO,Divorced,29543,36116,20,NO,Not Risky
NO,Divorced,23855,89632,4,YES,Not Risky
NO,Single,84836,39523,30,YES,Risky
NO,Divorced,93307,70138,15,YES,Risky
NO,Married,64614,92975,0,YES,Risky
NO,Married,72949,166976,19,YES,Risky
NO,Single,79211,59558,5,YES,Risky
NO,Divorced,28707,137569,10,NO,Not Risky
YES,Married,83229,189301,11,YES,Risky
NO,Single,73620,90459,19,NO,Risky
NO,Single,70819,176341,7,YES,Risky
YES,Married,48313,126556,10,YES,Risky
YES,Married,37481,198213,25,NO,Risky
YES,Single,20851,103981,28,NO,Not Risky
YES,Single,86079,181370,13,YES,Risky
YES,Married,10933,28410,21,NO,Not Risky
NO,Single,66905,98056,4,YES,Risky
NO,Single,36890,48025,28,YES,Risky
YES,Married,19060,145744,9,YES,Not Risky
YES,Single,61906,162777,17,YES,Risky
YES,Divorced,31088,58225,27,YES,Risky
YES,Single,70365,28661,0,YES,Risky
YES,Divorced,56536,117260,4,NO,Risky
NO,Married,16992,173091,14,NO,Not Risky
NO,Married,14300,131906,20,YES,Not Risky
YES,Single,51914,52227,16,YES,Risky
YES,Married,12083,138108,28,NO,Not Risky
YES,Single,71376,141502,3,NO,Risky
YES,Single,99307,186239,25,YES,Risky
YES,Single,35200,125993,13,YES,Risky
YES,Married,70812,57194,8,YES,Risky
YES,Divorced,62067,112659,14,NO,Risky
YES,Single,62365,107069,13,NO,Risky
NO,Divorced,80618,140159,16,NO,Risky
NO,Divorced,52891,28576,22,NO,Risky
NO,Divorced,31409,85128,22,NO,Risky
YES,Divorced,81790,179220,19,YES,Risky
NO,Married,57794,38091,19,NO,Risky
YES,Divorced,20604,26814,9,NO,Not Risky
YES,Divorced,83459,115168,30,NO,Risky
YES,Single,43051,134135,14,NO,Risky
YES,Divorced,68911,168248,27,NO,Risky
YES,Married,38374,192297,17,YES,Risky
NO,Married,86784,55717,25,YES,Risky
YES,Single,42488,125883,0,YES,Risky
NO,Single,35922,77719,28,NO,Risky
YES,Single,46610,182921,17,YES,Risky
NO,Married,28764,100696,9,YES,Not Risky
NO,Married,75170,35780,10,NO,Risky
NO,Married,24370,81593,14,YES,Not Risky
YES,Single,84083,153147,2,NO,Risky
YES,Married,11784,150349,2,NO,Not Risky
NO,Married,10003,63701,19,YES,Not Risky
NO,Single,98970,102498,14,NO,Risky
NO,Divorced,77735,87541,9,NO,Risky
YES,Married,46070,193193,3,NO,Risky
NO,Married,27143,128996,3,YES,Not Risky
YES,Single,56974,72968,9,YES,Risky
NO,Divorced,99109,76145,26,NO,Risky
NO,Single,32603,139146,30,YES,Risky
YES,Single,24215,31377,18,YES,Not Risky
NO,Divorced,33092,84368,2,YES,Risky
NO,Divorced,71297,181549,10,YES,Risky
YES,Single,68268,154647,27,NO,Risky
NO,Single,33810,183221,24,NO,Risky
YES,Single,49995,38139,25,NO,Risky
YES,Divorced,11865,108245,1,NO,Not Risky
NO,Single,28904,105374,17,YES,Not Risky
YES,Single,39144,35376,0,YES,Risky
NO,Married,31591,156973,16,NO,Risky
YES,Single,30167,173228,7,NO,Risky
NO,Single,72382,40855,28,YES,Risky
YES,Single,79869,77256,29,NO,Risky
NO,Divorced,70526,193263,26,NO,Risky
YES,Married,38143,170030,8,NO,Risky
YES,Married,70298,168568,14,NO,Risky
YES,Married,54747,31611,17,YES,Risky
NO,Divorced,92997,74119,28,YES,Risky
NO,Married,24347,197841,7,NO,Not Risky
YES,Single,57445,92333,28,NO,Risky
NO,Single,70645,68788,7,YES,Risky
NO,Divorced,69540,120415,21,NO,Risky
YES,Married,70712,69386,21,YES,Risky
NO,Single,32900,118899,5,NO,Risky
NO,Married,14326,101996,4,YES,Not Risky
YES,Married,43865,173276,17,YES,Risky
NO,Single,29046,183946,11,NO,Not Risky
NO,Single,95088,98378,3,YES,Risky
YES,Married,38586,125450,13,YES,Risky
NO,Married,30468,130680,5,NO,Risky
NO,Single,42254,183682,20,NO,Risky
NO,Single,32467,126488,1,YES,Risky
YES,Divorced,68404,58942,20,NO,Risky
YES,Married,58451,112584,25,NO,Risky
YES,Married,86208,55591,0,YES,Risky
NO,Single,62426,44251,17,YES,Risky
NO,Divorced,63710,117364,11,NO,Risky
NO,Married,25062,114823,11,NO,Not Risky
YES,Single,56438,74136,12,YES,Risky
NO,Divorced,17783,33184,1,NO,Not Risky
NO,Single,92426,167403,7,YES,Risky
YES,Married,64667,59590,29,NO,Risky
YES,Divorced,32483,129276,22,NO,Risky
NO,Divorced,15673,188383,22,YES,Not Risky
NO,Single,77511,63420,10,NO,Risky
YES,Divorced,76182,113724,6,NO,Risky
YES,Single,89831,77102,1,YES,Risky
YES,Married,12072,174196,21,YES,Not Risky
NO,Single,81231,196816,14,NO,Risky
YES,Married,48169,193003,30,YES,Risky
YES,Single,31699,62475,26,YES,Risky
YES,Single,15710,76406,1,YES,Not Risky
NO,Divorced,31645,43899,21,YES,Risky
YES,Single,98933,74074,2,NO,Risky
YES,Married,52912,40089,10,NO,Risky
YES,Divorced,68756,167600,26,NO,Risky
NO,Married,41087,36924,15,NO,Risky
NO,Single,46798,119904,21,YES,Risky
YES,Single,34475,197916,7,NO,Risky
NO,Married,98334,74052,30,NO,Risky
YES,Married,10900,39797,11,NO,Not Risky
YES,Divorced,61445,97109,27,NO,Risky
YES,Divorced,78796,189061,13,YES,Risky
YES,Divorced,62141,106757,23,YES,Risky
NO,Single,90945,161265,29,YES,Risky
YES,Divorced,88918,185099,12,NO,Risky
NO,Divorced,62873,31819,25,NO,Risky
YES,Married,70949,183445,30,NO,Risky
YES,Single,31521,123761,20,YES,Risky
YES,Divorced,59615,189435,22,YES,Risky
NO,Married,52111,50013,19,NO,Risky
YES,Single,34598,31641,18,NO,Risky
YES,Single,61124,124848,2,NO,Risky
NO,Single,59689,85255,4,NO,Risky
YES,Divorced,23075,176278,19,NO,Not Risky
NO,Married,48192,70323,25,NO,Risky
YES,Married,77367,116745,23,NO,Risky
NO,Divorced,82625,121324,14,YES,Risky
YES,Divorced,51802,153308,24,YES,Risky
YES,Single,78922,78897,11,YES,Risky
NO,Single,38670,84215,6,YES,Risky
NO,Divorced,48392,160932,24,YES,Risky
YES,Married,47425,165175,13,NO,Risky
YES,Single,73906,171288,15,NO,Risky
NO,Single,94013,25779,16,YES,Risky
YES,Divorced,27698,165001,19,YES,Not Risky
YES,Married,26793,162777,7,NO,Not Risky
NO,Divorced,67033,93414,12,YES,Risky
NO,Single,20109,39360,10,NO,Not Risky
NO,Married,95185,43176,29,NO,Risky
YES,Married,27684,60999,15,YES,Not Risky
YES,Divorced,98240,84132,1,NO,Risky
YES,Single,18032,44775,13,YES,Not Risky
NO,Single,46470,118274,13,YES,Risky
YES,Married,33301,140998,15,NO,Risky
NO,Married,62800,73146,5,NO,Risky
YES,Married,27520,73490,7,NO,Not Risky
YES,Divorced,26094,111264,23,NO,Not Risky
YES,Single,13571,110940,10,NO,Not Risky
YES,Married,36239,54437,21,YES,Risky
NO,Married,77082,83900,8,YES,Risky
YES,Married,71572,31097,7,YES,Risky
YES,Divorced,30495,161143,17,NO,Risky
NO,Married,49771,192313,5,YES,Risky
YES,Divorced,32905,118798,6,NO,Risky
NO,Single,21337,134635,30,YES,Not Risky
NO,Married,16082,80991,0,YES,Not Risky
YES,Single,43883,42269,2,NO,Risky
YES,Divorced,15491,72255,30,YES,Not Risky
NO,Married,48081,89949,25,NO,Risky
YES,Married,36317,114922,12,NO,Risky
NO,Divorced,15627,72115,16,YES,Not Risky
YES,Married,51028,141622,29,NO,Risky
YES,Married,14422,176891,27,YES,Not Risky
YES,Single,45525,56488,17,NO,Risky
NO,Married,23480,46480,27,NO,Not Risky
NO,Married,19184,84034,28,NO,Not Risky
YES,Single,80239,96432,24,YES,Risky
YES,Single,33215,157299,11,NO,Risky
YES,Single,65203,107937,5,YES,Risky
YES,Divorced,65190,62671,20,NO,Risky
YES,Divorced,16320,75552,17,YES,Not Risky
YES,Single,21696,52584,7,YES,Not Risky
YES,Married,56129,62943,17,NO,Risky
NO,Divorced,74971,134321,10,YES,Risky
YES,Married,33356,131469,30,NO,Risky
YES,Married,29607,95404,24,YES,Not Risky
YES,Divorced,95319,128428,14,NO,Risky
NO,Married,94413,89122,28,NO,Risky
NO,Divorced,78963,86119,5,YES,Risky
YES,Single,66865,75580,5,NO,Risky
YES,Married,40427,168473,9,NO,Risky
NO,Married,93733,175719,21,YES,Risky
YES,Divorced,63543,147614,9,YES,Risky
NO,Married,41184,130935,2,NO,Risky
NO,Divorced,96652,188067,26,NO,Risky
YES,Single,56555,103490,30,NO,Risky
YES,Divorced,36457,152471,6,NO,Risky
NO,Single,26101,112774,13,NO,Not Risky
YES,Married,36156,197699,2,NO,Risky
NO,Single,49958,61920,4,NO,Risky
YES,Divorced,68696,139269,29,NO,Risky
YES,Married,97453,148246,5,YES,Risky
YES,Married,68533,147346,25,NO,Risky
NO,Single,96438,140132,27,NO,Risky
NO,Single,50348,140642,27,YES,Risky
YES,Single,85016,56597,9,YES,Risky
YES,Divorced,73188,151636,4,YES,Risky
YES,Single,64225,183187,5,YES,Risky
YES,Single,64437,57324,17,NO,Risky
NO,Married,66330,29934,1,NO,Risky
YES,Divorced,26372,37776,15,NO,Not Risky
NO,Married,30714,68687,30,YES,Risky
NO,Divorced,84263,64990,21,YES,Risky
YES,Single,86531,183094,5,NO,Risky
YES,Single,93090,176330,21,NO,Risky
NO,Married,79373,91689,14,YES,Risky
NO,Married,17440,64070,2,YES,Not Risky
NO,Single,81536,74497,21,NO,Risky
YES,Married,62494,197421,16,NO,Risky
NO,Married,37580,73065,20,NO,Risky
YES,Divorced,60822,105376,11,NO,Risky
NO,Divorced,96032,130912,27,YES,Risky
YES,Divorced,91545,34334,21,YES,Risky
NO,Divorced,73313,140266,28,NO,Risky
NO,Married,54345,107688,2,NO,Risky
NO,Single,33138,52144,6,NO,Risky
YES,Divorced,33579,77059,22,NO,Risky
NO,Single,83094,163058,1,NO,Risky
NO,Divorced,90065,41152,27,NO,Risky
NO,Married,51913,46253,19,NO,Risky
YES,Single,81378,28446,11,NO,Risky
YES,Single,32236,112890,11,YES,Risky
NO,Divorced,97980,27300,1,YES,Risky
NO,Divorced,38626,131493,21,NO,Risky
NO,Single,64230,33982,30,NO,Risky
NO,Divorced,38183,76625,2,NO,Risky
YES,Divorced,89277,104183,18,NO,Risky
NO,Married,68269,138074,20,NO,Risky
NO,Divorced,58751,84473,2,NO,Risky
YES,Single,88720,135185,13,NO,Risky
NO,Divorced,99311,191983,14,YES,Risky
NO,Married,94528,80249,19,YES,Risky
YES,Married,72268,94199,0,YES,Risky
YES,Divorced,79593,121506,27,NO,Risky
YES,Divorced,94247,50373,25,YES,Risky
NO,Divorced,76700,99025,10,NO,Risky
YES,Married,12011,128266,24,YES,Not Risky
NO,Single,87935,153748,30,YES,Risky
YES,Married,98720,161215,8,NO,Risky
NO,Single,38638,168360,25,YES,Risky
NO,Married,37857,157217,11,YES,Risky
NO,Married,15532,129265,14,YES,Not Risky
YES,Single,22159,87188,19,YES,Not Risky
NO,Divorced,91547,111774,4,YES,Risky
NO,Divorced,98738,158057,4,YES,Risky
YES,Married,21966,117250,20,YES,Not Risky
NO,Single,14398,74697,14,NO,Not Risky
YES,Divorced,18572,48956,8,NO,Not Risky
NO,Single,77312,170407,13,YES,Risky
NO,Divorced,42074,70314,24,NO,Risky
YES,Single,82799,193775,27,NO,Risky
YES,Single,12659,189209,9,NO,Not Risky
YES,Single,19649,36956,14,NO,Not Risky
NO,Divorced,50119,128451,12,NO,Risky
NO,Single,18888,65708,28,NO,Not Risky
NO,Married,83061,166606,5,YES,Risky
YES,Single,39343,114597,28,YES,Risky
NO,Married,92007,27875,11,NO,Risky
YES,Divorced,78728,91936,8,YES,Risky
YES,Divorced,48640,108262,10,YES,Risky
NO,Single,92070,42620,10,NO,Risky
YES,Single,97341,41504,26,NO,Risky
NO,Married,97493,29602,15,YES,Risky
NO,Married,78400,65533,23,YES,Risky
NO,Single,52862,53788,23,YES,Risky
NO,Married,11804,36055,24,YES,Not Risky
YES,Single,10455,110892,18,YES,Not Risky
YES,Divorced,25766,125407,21,NO,Not Risky
NO,Divorced,58199,54701,10,YES,Risky
NO,Single,88613,163901,6,YES,Risky
NO,Divorced,16690,149327,17,NO,Not Risky
NO,Divorced,71164,40460,3,YES,Risky
NO,Married,48825,143349,16,YES,Risky
NO,Divorced,29236,116282,21,NO,Not Risky
NO,Married,59689,186013,16,NO,Risky
YES,Divorced,48940,106946,20,YES,Risky
YES,Divorced,64320,38814,18,YES,Risky
YES,Single,84845,65487,13,YES,Risky
YES,Married,52663,148686,26,NO,Risky
NO,Single,17957,192410,21,YES,Not Risky
NO,Married,69018,151963,11,YES,Risky
YES,Single,58496,147367,16,YES,Risky
YES,Divorced,99128,80729,0,NO,Risky
NO,Single,35868,36081,12,YES,Risky
NO,Single,79478,183057,7,YES,Risky
YES,Divorced,57402,158849,29,NO,Risky
NO,Divorced,73795,65242,6,NO,Risky
YES,Married,58403,68995,21,NO,Risky
NO,Divorced,85972,72252,26,YES,Risky
YES,Single,62998,120012,13,NO,Risky
NO,Single,32786,125771,12,NO,Risky
NO,Single,17962,100961,10,NO,Not Risky
YES,Married,59440,114646,28,YES,Risky
NO,Single,94772,52766,23,NO,Risky
YES,Single,80083,57230,29,YES,Risky
YES,Single,81026,83402,13,YES,Risky
YES,Single,86883,76718,10,YES,Risky
YES,Married,39444,148821,6,NO,Risky
NO,Married,35886,120996,24,NO,Risky
NO,Divorced,24541,82029,10,NO,Not Risky
YES,Single,54502,98123,18,YES,Risky
NO,Married,17183,103226,29,NO,Not Risky
NO,Single,39562,197045,13,YES,Risky
NO,Married,70157,59156,24,NO,Risky
YES,Divorced,72151,59382,5,YES,Risky
NO,Single,65170,100331,3,NO,Risky
YES,Single,67936,164924,24,YES,Risky
YES,Single,93339,48744,2,YES,Risky
YES,Single,57365,158780,11,YES,Risky
NO,Divorced,56628,55842,4,YES,Risky
NO,Married,83814,53240,1,YES,Risky
YES,Married,75324,81550,17,YES,Risky
NO,Divorced,46939,198571,19,YES,Risky
NO,Divorced,71428,74910,15,YES,Risky
NO,Single,23884,111105,8,YES,Not Risky
YES,Single,95145,101272,24,YES,Risky
NO,Single,46002,195357,19,NO,Risky
NO,Married,20309,65531,27,YES,Not Risky
YES,Married,72115,75436,14,YES,Risky
NO,Married,42769,153233,5,YES,Risky
YES,Single,91870,137948,22,YES,Risky
NO,Divorced,55308,140400,10,NO,Risky
NO,Divorced,60789,31380,6,NO,Risky
NO,Divorced,51363,87868,13,NO,Risky
YES,Single,99239,76337,18,YES,Risky
NO,Single,19272,195078,26,NO,Not Risky
YES,Single,44411,112591,26,YES,Risky
YES,Single,60915,162102,25,YES,Risky
NO,Divorced,98433,142426,8,YES,Risky
NO,Divorced,81867,51104,15,NO,Risky
NO,Divorced,43980,103343,10,NO,Risky
NO,Divorced,50286,42198,12,NO,Risky
YES,Married,29385,164391,27,NO,Not Risky
YES,Single,47565,75307,23,NO,Risky
NO,Divorced,26494,82565,12,NO,Not Risky
NO,Married,59243,180274,27,NO,Risky
NO,Married,91488,172612,10,NO,Risky
NO,Divorced,33116,83388,14,NO,Risky
YES,Divorced,93364,194421,17,YES,Risky
YES,Married,70743,124440,14,YES,Risky
YES,Divorced,34007,98662,16,NO,Risky
NO,Divorced,26128,54113,19,YES,Not Risky
YES,Married,33748,91567,13,YES,Risky
NO,Married,38896,189851,3,NO,Risky
NO,Single,40674,157025,14,NO,Risky
YES,Single,97111,100651,6,NO,Risky
NO,Married,54850,119976,12,NO,Risky
YES,Divorced,32948,57390,8,NO,Risky
YES,Single,12682,110308,22,NO,Not Risky
YES,Divorced,12453,191874,30,YES,Not Risky
YES,Married,34655,199778,27,NO,Risky
NO,Single,59351,130816,13,NO,Risky
NO,Single,29916,133877,21,YES,Not Risky
YES,Divorced,36532,109079,8,NO,Risky
NO,Married,94583,59091,6,NO,Risky
YES,Single,92819,42690,25,YES,Risky
YES,Divorced,76535,154393,9,YES,Risky
NO,Married,91220,74058,11,YES,Risky
NO,Married,71238,68160,2,YES,Risky
YES,Married,32356,123082,0,YES,Risky
NO,Single,89094,109191,5,YES,Risky
NO,Single,91462,26884,13,YES,Risky
NO,Divorced,75585,147788,27,NO,Risky
NO,Single,31629,53848,10,NO,Risky
NO,Single,42063,34242,12,NO,Risky
YES,Married,12810,157421,10,NO,Not Risky
NO,Divorced,85570,191139,12,YES,Risky
YES,Divorced,72026,180424,26,NO,Risky
NO,Divorced,90444,182562,24,NO,Risky
NO,Married,50403,36861,29,YES,Risky
YES,Divorced,78867,100064,12,NO,Risky
YES,Married,95920,116495,6,YES,Risky
YES,Married,41545,30098,11,YES,Risky
NO,Divorced,63912,31064,28,NO,Risky
NO,Married,92498,33460,28,NO,Risky
YES,Single,16316,129912,30,NO,Not Risky
NO,Single,68617,150036,22,YES,Risky
YES,Single,59860,38074,12,YES,Risky
NO,Single,55981,161629,29,YES,Risky
NO,Single,34833,95421,7,YES,Risky
YES,Married,39818,148068,13,NO,Risky
YES,Married,59227,116161,20,NO,Risky
YES,Divorced,44809,28768,29,YES,Risky
NO,Divorced,10735,95975,13,YES,Not Risky
YES,Married,50242,79653,15,YES,Risky
YES,Married,56166,52940,5,YES,Risky
NO,Divorced,42483,185339,6,NO,Risky
YES,Single,70572,125112,7,YES,Risky
YES,Divorced,31721,123335,1,YES,Risky
YES,Divorced,31085,57473,10,YES,Risky
YES,Married,84931,32907,12,YES,Risky
NO,Married,69036,28874,19,NO,Risky
NO,Divorced,42679,155684,4,YES,Risky
NO,Single,84557,137622,2,YES,Risky
YES,Single,54126,106230,30,NO,Risky
NO,Single,87685,154677,26,YES,Risky
YES,Married,85076,93242,27,YES,Risky
YES,Married,31633,30774,10,NO,Risky
NO,Married,43018,85195,14,YES,Risky
YES,Single,27394,132859,18,YES,Not Risky
YES,Single,68152,75143,16,NO,Risky
NO,Divorced,84775,131963,10,YES,Risky
NO,Married,47364,97526,9,YES,Risky
YES,Divorced,76340,39492,7,YES,Risky
YES,Divorced,69967,55369,2,YES,Risky
NO,Divorced,47334,154058,0,YES,Risky
YES,Married,98592,180083,17,NO,Risky
NO,Divorced,96519,158137,16,NO,Risky
